Variable,(1),(2),(3),(4)
AI absorption,0.344***,0.327***,0.341***,0.328***
,(0.011),(0.012),(0.011),(0.012)
Shock indicator,-0.095***,-0.114***,-0.093***,-0.108***
,(0.007),(0.006),(0.007),(0.006)
Absorption x shock,,0.044***,,0.035***
,,(0.007),,(0.007)
AI use intensity,0.062***,0.063***,-0.316***,-0.308***
,(0.007),(0.007),(0.040),(0.040)
Monitoring effort,0.178***,0.178***,-0.134***,-0.128***
,(0.008),(0.008),(0.039),(0.039)
Routine redesign,-0.003,-0.003,-0.100***,-0.098***
,(0.005),(0.005),(0.027),(0.027)
AI use x monitoring,,,0.410***,0.402***
,,,(0.050),(0.050)
AI use x redesign,,,0.126***,0.124***
,,,(0.036),(0.036)
Complexity,-0.121***,-0.121***,-0.120***,-0.120***
,(0.002),(0.002),(0.002),(0.002)
Workload,0.257***,0.257***,0.256***,0.256***
,(0.002),(0.002),(0.002),(0.002)
Fatigue,-0.341***,-0.341***,-0.339***,-0.339***
,(0.015),(0.015),(0.015),(0.015)
R-squared,0.808,0.808,0.809,0.809
Observations,"30,000","30,000","30,000","30,000"
